,sig_e,sig_s,sig_u,sig_eps,rho,tau,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd
run_00000038,0.7071067811865476,1.0,8.774964387392123,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,38,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000039,0.7071067811865476,1.0,8.888194417315589,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,39,5.0,5.0,0.0,0.0,5e-324,5e-324,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00000040,0.7071067811865476,5.621387729022079,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,40,5.00000000000001,4.99999999999999,0.0,0.0,35713.367809295625,35713.367809295625,5.0000000000000835,4.9999999999999165,7.37188088351104e-14,7.37188088351104e-14,0.0,0.0,3.4924596548080444e-10,3.4924596548080444e-10,0.0,0.0,1.6697754290362354e-13,0.0,1.6697754290362354e-13,0.0,0.0,0.0
run_00000041,0.7071067811865476,5.621387729022079,1.7320508075688772,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,41,5.000000000000003,4.999999999999997,0.0,0.0,29159.842709704797,29159.842709704797,5.000000000000042,4.999999999999958,3.907985046680551e-14,3.907985046680551e-14,0.0,0.0,9.458744898438454e-10,9.458744898438454e-10,0.0,0.0,8.348877145181177e-14,0.0,8.348877145181177e-14,0.0,0.0,0.0
run_00000042,0.7071067811865476,5.621387729022079,2.23606797749979,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,42,5.000000000000003,4.999999999999997,0.0,0.0,27663.455752476624,27663.455752476624,5.000000000000035,4.999999999999965,3.2862601528904634e-14,3.2862601528904634e-14,0.0,0.0,5.456968210637569e-10,5.456968210637569e-10,8.881784197001252e-16,8.881784197001252e-16,7.105427357601002e-14,0.0,7.105427357601002e-14,0.0,0.0,0.0
run_00000043,0.7071067811865476,5.621387729022079,2.6457513110645907,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,43,5.000000000000003,4.999999999999997,0.0,0.0,26996.76848684996,26996.76848684996,5.000000000000033,4.999999999999967,3.019806626980426e-14,3.019806626980426e-14,0.0,0.0,4.001776687800884e-11,4.001776687800884e-11,0.0,0.0,6.572520305780927e-14,0.0,6.572520305780927e-14,0.0,0.0,0.0
run_00000044,0.7071067811865476,5.621387729022079,3.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,44,5.000000000000003,4.999999999999997,0.0,0.0,26619.172709011124,26619.172709011124,5.000000000000031,4.999999999999969,2.930988785010413e-14,2.930988785010413e-14,0.0,0.0,1.153239281848073e-09,1.153239281848073e-09,8.881784197001252e-16,8.881784197001252e-16,6.394884621840902e-14,0.0,6.394884621840902e-14,0.0,0.0,0.0
run_00000045,0.7071067811865476,5.621387729022079,3.3166247903554,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,45,5.000000000000003,4.999999999999997,0.0,0.0,26376.070149235908,26376.070149235908,5.000000000000031,4.999999999999969,2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,8.076312951743603e-10,8.076312951743603e-10,0.0,0.0,6.217248937900877e-14,0.0,6.217248937900877e-14,0.0,0.0,0.0
run_00000046,0.7071067811865476,5.621387729022079,3.605551275463989,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,46,5.000000000000003,4.999999999999997,0.0,0.0,26206.447359928938,26206.447359928938,5.000000000000029,4.999999999999971,2.7533531010703882e-14,2.7533531010703882e-14,0.0,0.0,8.512870408594608e-10,8.512870408594608e-10,8.881784197001252e-16,8.881784197001252e-16,6.039613253960852e-14,0.0,6.039613253960852e-14,0.0,0.0,0.0
run_00000047,0.7071067811865476,5.621387729022079,3.872983346207417,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,47,5.000000000000003,4.999999999999997,0.0,0.0,26081.356204839394,26081.356204839394,5.000000000000029,4.999999999999971,2.7533531010703882e-14,2.7533531010703882e-14,0.0,0.0,3.92901711165905e-10,3.92901711165905e-10,8.881784197001252e-16,8.881784197001252e-16,6.039613253960852e-14,0.0,6.039613253960852e-14,0.0,0.0,0.0
